product_id,pdt_name,product_code,unit,specification,acquire_channel,old_code
10392,注塑模组/6614/蓝/G.LIGHT,x1744947586,pcs,--,自制,""
8682,S灯带/2835-60D-7W/白10000k防水,x1735129885,M,20米卷-2卷/包-ALIVE标（1040205045）,采购,1040205045
6640,线路板/5054-6409纸/3L1R/SSA,x1738854837,pcs,--,采购,3030503011
6241,穿卡槽半成品/5054-6409纸3L2R/白0.5W/AbneR,2040613011,pcs,--,委外,
6242,穿卡槽半成品/5054-6409纸3L2R/白0.5W/CL,2040613010,pcs,--,委外,
6243,穿卡槽半成品/5054-6409纸3L2R/白0.5W/SSA,2040613009,pcs,--,委外,
6244,穿卡槽半成品/5054-6409纸3L2R/粉0.2W/POWER BY,2040624040,pcs,--,委外,
6245,穿卡槽半成品/5054-6409纸3L2R/红MLS/POWER BY,2040617040,pcs,--,委外,
6246,穿卡槽半成品/5054-6409纸3L2R/绿0.1W/POWER BY,2040622040,pcs,--,委外,
6626,线路板/5054-6409玻/3L1R/中性,x1738854652,pcs,--,采购,3031703005
6656,线路板/5054-7211纸1.0/3L1R,x1738854858,pcs,--,采购,3032803000
6684,线路板/5054-7512纸/3L4R/SSA,x1738854932,pcs,--,采购,3030306011
6689,线路板/7015/3L1R/25铜/1.0厚铝基板/6396,x1738854983,pcs,--,采购,3032703066
6771,线路板/超级模组6614/3L1R/HH-8244（0.8）竖电阻,x1738810927,pcs,--,采购,3033703119
6595,线路板/2835-6409玻/3L1R/DZ,x1738854304,pcs,--,采购,3031903055
10393,注塑模组/6614/粉/G.LIGHT,x1744947600,pcs,--,自制,""
6782,线路板/超级模组8218/3L2R2Q /HH7892（0.8）,x1738855010,pcs,--,采购,3033615143
10394,贴背胶半成品/6614/白/G.LIGHT,x1744947656,pcs,--,委外,""
8924,中间线/21支10/2.0外径/160mm/白注红并线,x1735615884,pcs,"",采购,3041211017
6252,穿卡槽半成品/5054-7211纸3L1R/冷白/SE,x1739756506,pcs,--,委外,2041539064
6247,穿卡槽半成品/5054-6409纸3L2R/蓝0.2W/AbneR,2040628011,pcs,--,委外,
6248,穿卡槽半成品/5054-6409纸3L2R/黄0.2W/AbneR,2040618011,pcs,--,委外,
6249,穿卡槽半成品/5054-6409纸3L2R/黄0.2W/CL,2040618010,pcs,--,委外,
6250,穿卡槽半成品/5054-6409纸3L2R/黄0.2WMLS/POWER BY,2040626040,pcs,--,委外,
6251,穿卡槽半成品/5054-7211纸3L1R/冷白,2041539000,pcs,--,委外,
10395,贴背胶半成品/6614/暖白/G.LIGHT,x1744947677,pcs,--,委外,""
6701,线路板/单色外露灯SMD/1L1R,x1738855610,pcs,--,采购,3031508000
3692,灯珠/2835/暖白0.3W铜/US29-MLS（5代小芯片）,x1738859540,pcs,--,采购,3010128025
3724,灯珠/2835/正白6000K/9V三晶1W/WFC(区块),x1738857352,pcs,--,采购,3010138036
8943,灯珠/2835/冷白1.5W/10000K-13000K/C777,x1735626289,pcs,3010150050,采购,3010150050
3804,灯珠/5054/黄光0.5W/YX,x1738859902,pcs,--,采购,3010216017
3780,灯珠/5054/暖白0.2W/MLS,x1738859625,pcs,--,采购,3010213001
8888,灯珠/5054/蓝0.2W/铁,x1735535937,pcs,"",采购,3010217017
6516,线材/16支09/1.8外径/蓝白并线,x1739954113,M,--,采购,3040303012
8956,线路板/HH6961/5代/0.67/3L1R/竖电阻,x1735630123,pcs,"",采购,3032603093
10396,贴背胶半成品/6614/红/G.LIGHT,x1744947692,pcs,--,委外,""
10398,贴背胶半成品/6614/绿/G.LIGHT,x1744947713,pcs,--,委外,""
3771,灯珠/5050/高亮RGB-YJ-GE/JHL,x1738860888,pcs,--,采购,3010956068
8931,贴片电阻/10Ω/1206±5%,x1735620012,pcs,"",采购,""
9477,背胶/55mm*50m/SSATECH大红字体,x1738856274,m,"",采购,3080189068(T)
8781,碳膜电阻/33Ω/1/6W±5%/编带,x1735286646,pcs,"",采购,""
8633,贴片电阻/10Ω/0805±1%,x1735020247,pcs,--,采购,""
9045,贴片电阻/22Ω/1206±5%,x1735898106,pcs,"",采购,""
9012,背胶/55mm*50m/SW灰色,x1735880466,m2,"",采购,3080189043
9011,透镜/7015,x1735880414,pcs,"",采购,3061100000
8439,透镜/2灯,x1736400887,pcs,--,采购,3060900000
8692,透镜/1代-2代-6512,x1735550863,pcs,3060207000,采购,3060207000
8922,侧光源透镜/10*65°,x1735615675,pcs,3060801000,采购,3060801000
8431,透镜/七彩,x1738747254,pcs,--,采购,3061400000
4353,PVC/21P/白184（比重1.55）,x1738746170,pcs,--,采购,3070315013
9474,外箱/37*28*39/FORTUNE,x1738856018,pcs,--,采购,""
8889,灯珠/5054/绿0.1W/铁,x1735536073,pcs,"",采购,3010220017
5931,电阻/1206/10欧,x1738752525,pcs,--,采购,3020101001
10397,贴背胶半成品/6614/黄/G.LIGHT,x1744947702,pcs,--,委外,""
8637,贴片电阻/2.4KΩ/1206±5%,x1735023223,pcs,"",采购,3090060919
8779,碳膜电阻/47KΩ/1/4W±5%/编带,x1735286594,pcs,"",采购,3090101071
8621,贴片电阻/5.1KΩ/0805±5%,x1735018525,pcs,"",采购,3090060306
10399,贴背胶半成品/6614/蓝/G.LIGHT,x1744947724,pcs,--,委外,""
6254,穿卡槽半成品/5054-7211纸3L1R/暖白/SE,x1739760640,pcs,--,委外,2041543064
6256,穿卡槽半成品/5054-7211纸3L1R/红/SE,x1739760751,pcs,--,委外,2041544064
6255,穿卡槽半成品/5054-7211纸3L1R/正白,2041534000,pcs,--,委外,
6257,穿卡槽半成品/5054-7211纸3L1R/红0.2W,2041537000,pcs,--,委外,
5922,贴片电阻/180Ω/0805/±5%,x1738753223,pcs,--,采购,""
10401,注塑半成品/6614/白/G.LIGHT,x1744947768,pcs,--,委外,""
10403,注塑半成品/6614/红/G.LIGHT,x1744947802,pcs,--,委外,""
5940,贴片电阻,x1739780772,pcs,--,采购,""
8632,贴片电阻/47Ω/1206±5%,x1735019198,pcs,"",采购,3020112002
8697,贴片电阻/33Ω/1206±5%,x1735140972,pcs,3020108002,采购,3020108001
10408,焊线半成品/6614/白/G.LIGHT,x1744947891,pcs,--,委外,""
10417,贴片半成品/6614/红/G.LIGHT,x1744948038,pcs,--,委外,""
9467,外箱/39.5*27.5*29.5/diamond,x1738855821,pcs,--,采购,3110437048
10400,贴背胶半成品/6614/粉/G.LIGHT,x1744947737,pcs,--,委外,""
5929,贴片电阻/100Ω/1206±5%,x1738752782,pcs,--,采购,3020119001
9055,金属膜电阻/2.61KΩ/1/4W±1%/编带,x1736126728,pcs,"",采购,""
9059,金属膜电阻/23.2KΩ/1/4W±1%/编带,x1736127340,pcs,"",采购,""
9060,金属膜电阻/10KΩ/1/4W±1%/编带,x1736127372,pcs,"",采购,""
9061,金属膜电阻/2.61KΩ/1/6W±1%/编带,x1736127402,pcs,"",采购,3090102813
5923,贴片电阻/360Ω/0805±5%,x1735020438,pcs,--,采购,""
4365,PVC/35P/白/比重1.55,x1738746393,G,--,采购,3070316010
5996,贴片电阻/47Ω/1210±5%,x1735019768,pcs,--,采购,""
6991,外箱/45*28*29.5cm/ABNER（注塑）,x1738766867,pcs,--,采购,3110437056
6258,穿卡槽半成品/5054-7211纸3L1R/绿0.2W,2041523000,pcs,--,委外,
6260,穿卡槽半成品/5054-7211纸3L2R/正白0.2W,2041742000,pcs,--,委外,
6262,穿卡槽半成品/5054-7211纸3L2R/白0.2W(RS),2041714086,pcs,--,委外,
6261,穿卡槽半成品/5054-7211纸3L2R/白0.2W,x1744683236,pcs,--,委外,2041736000
10402,注塑半成品/6614/暖白/G.LIGHT,x1744947791,pcs,--,委外,""
10418,贴片半成品/6614/黄/G.LIGHT,x1744948053,pcs,--,委外,""
10420,贴片半成品/6614/蓝/G.LIGHT,x1744948074,pcs,--,委外,""
11624,霓虹灯-12V-2835-120D-8MM-816柔软-5米吸塑-白,x1755076552,pcs,--,采购,""
5731,"电源零件/贴片二极管/RS1J(1A,600V,75nS),SMAF",3090066574,pcs,--,采购,
9037,外箱/39.5*29.5*19cm/SSATECH,x1735893092,pcs,2000装,采购,3110477031（T）
10503,注塑模组/低压侧光源/暖白/G.LIGHT,x1745050299,pcs,--,自制,""
6900,外箱/60*27.5*27.5cm（2代）,x1738767369,pcs,--,采购,3080464000
10404,注塑半成品/6614/黄/G.LIGHT,x1744947814,pcs,--,委外,""
10405,注塑半成品/6614/绿/G.LIGHT,x1744947826,pcs,--,委外,""
10406,注塑半成品/6614/蓝/G.LIGHT,x1744947837,pcs,--,委外,""
9056,氧化膜电阻/10Ω/1/2W±5%/编带,x1736126867,pcs,"",采购,""
9057,金属膜电阻/2.70KΩ/1/4W±1%/编带,x1736127257,pcs,"",采购,""
9058,金属膜电阻/23.2KΩ/1/6W±1%/编带,x1736127267,pcs,"",采购,""
9062,金属膜电阻/2.70KΩ/1/6W±1%/编带,x1736127436,pcs,"",采购,""
10407,注塑半成品/6614/粉/G.LIGHT,x1744947849,pcs,--,委外,""
10409,焊线半成品/6614/暖白/G.LIGHT,x1744947906,pcs,--,委外,""
10410,焊线半成品/6614/红/G.LIGHT,x1744947917,pcs,--,委外,""
10411,焊线半成品/6614/黄/G.LIGHT,x1744947928,pcs,--,委外,""
10412,焊线半成品/6614/绿/G.LIGHT,x1744947938,pcs,--,委外,""
10413,焊线半成品/6614/蓝/G.LIGHT,x1744947949,pcs,--,委外,""
10414,焊线半成品/6614/粉/G.LIGHT,x1744947963,pcs,--,委外,""
10415,贴片半成品/6614/白/G.LIGHT,x1744947987,pcs,--,委外,""
10416,贴片半成品/6614/暖白/G.LIGHT,x1744948026,pcs,--,委外,""
5480,电源零件/手插件/光耦/PC817C DIP4,3090321368,pcs,--,采购,3090321368
5330,电源零件/堵头/大号/GB二代,3090036185,pcs,--,采购,
